Sample,Roll,Pitch,Yaw
498,2.121,7.293,296.99
499,2.072,7.194,297.057
500,2.024,7.094,297.125
501,1.976,7.001,297.2
502,1.93,6.905,297.271
503,1.884,6.81,297.343
504,1.837,6.715,297.416
505,1.79,6.621,297.49
506,1.743,6.53,297.566
507,1.697,6.435,297.642
508,1.655,6.34,297.718
509,1.609,6.244,297.791
510,1.564,6.148,297.865
511,1.517,6.052,297.94
512,1.473,5.951,298.012
513,1.425,5.851,298.084
514,1.381,5.751,298.157
515,1.334,5.652,298.23
516,1.29,5.551,298.303
517,1.245,5.453,298.378
518,1.197,5.354,298.45
519,1.154,5.254,298.525
520,1.11,5.156,298.602
521,1.07,5.057,298.681
522,1.021,4.962,298.757
523,0.973,4.866,298.834
524,0.934,4.769,298.913
525,0.889,4.67,298.989
526,0.843,4.573,299.068
527,0.795,4.474,299.143
528,0.75,4.377,299.221
529,0.705,4.278,299.299
530,0.662,4.18,299.377
531,0.62,4.079,299.455
532,0.583,3.982,299.539
533,0.544,3.889,299.625
534,0.499,3.795,299.708
535,0.454,3.704,299.794
536,0.418,3.612,299.883
537,0.381,3.51,299.964
538,0.341,3.412,300.046
539,0.296,3.314,300.127
540,0.257,3.214,300.209
541,0.216,3.115,300.291
542,0.176,3.017,300.374
543,0.141,2.919,300.46
544,0.1,2.821,300.544
545,0.056,2.724,300.627
546,0.004,2.636,300.715
547,-0.033,2.548,300.809
548,-0.068,2.459,300.903
549,-0.097,2.37,301
550,-0.137,2.284,301.096
551,-0.175,2.197,301.192
552,-0.217,2.111,301.286
553,-0.257,2.023,301.38
554,-0.291,1.94,301.48
555,-0.325,1.857,301.58
556,-0.361,1.774,301.68
557,-0.385,1.683,301.777
558,-0.41,1.593,301.874
559,-0.434,1.5,301.969
560,-0.463,1.414,302.068
561,-0.475,1.334,302.176
562,-0.498,1.252,302.279
563,-0.534,1.176,302.381
564,-0.545,1.088,302.479
565,-0.569,1.01,302.583
566,-0.584,0.934,302.689
567,-0.61,0.856,302.791
568,-0.641,0.79,302.903
569,-0.664,0.717,303.013
570,-0.678,0.646,303.125
571,-0.704,0.582,303.24
572,-0.724,0.514,303.352
573,-0.758,0.455,303.469
574,-0.777,0.381,303.581
575,-0.802,0.318,303.698
576,-0.823,0.248,303.812
577,-0.851,0.186,303.93
578,-0.856,0.127,304.043
579,-0.874,0.067,304.154
580,-0.888,0.009,304.266
581,-0.907,-0.047,304.377
582,-0.936,-0.106,304.485
583,-0.97,-0.151,304.608
584,-1.007,-0.196,304.73
585,-1.034,-0.255,304.849
586,-1.057,-0.313,304.968
587,-1.083,-0.368,305.089
588,-1.081,-0.42,305.204
589,-1.081,-0.445,305.326
590,-1.1,-0.495,305.44
591,-1.095,-0.538,305.556
592,-1.111,-0.581,305.671
593,-1.129,-0.629,305.789
594,-1.122,-0.686,305.902
595,-1.154,-0.716,306.021
596,-1.173,-0.739,306.142
597,-1.187,-0.8,306.253
598,-1.194,-0.85,306.377
599,-1.207,-0.883,306.506
600,-1.212,-0.911,306.637
601,-1.216,-0.942,306.766
602,-1.211,-0.967,306.896
603,-1.236,-0.997,307.019
604,-1.243,-1.01,307.144
605,-1.247,-1.04,307.267
606,-1.261,-1.062,307.389
607,-1.268,-1.073,307.513
608,-1.286,-1.093,307.641
609,-1.29,-1.093,307.77
610,-1.29,-1.126,307.895
611,-1.289,-1.146,308.023
612,-1.31,-1.168,308.147
613,-1.314,-1.205,308.27
614,-1.307,-1.199,308.37
615,-1.292,-1.188,308.469
616,-1.274,-1.196,308.567
617,-1.261,-1.179,308.663
618,-1.254,-1.169,308.759
619,-1.237,-1.146,308.841
620,-1.233,-1.132,308.923
621,-1.212,-1.14,309.003
622,-1.18,-1.138,309.08
623,-1.153,-1.127,309.158
624,-1.125,-1.105,309.206
625,-1.11,-1.086,309.254
626,-1.093,-1.059,309.302
627,-1.072,-1.031,309.349
628,-1.045,-1.001,309.395
629,-1.05,-1.014,309.516
630,-1.078,-1.025,309.635
631,-1.065,-1.035,309.754
632,-1.077,-1.046,309.872
633,-1.085,-1.065,309.99
634,-1.071,-1.07,310.092
635,-1.058,-1.055,310.193
636,-1.056,-1.061,310.294
637,-1.066,-1.035,310.392
638,-1.058,-1.019,310.491
639,-1.037,-1.023,310.587
640,-1.03,-1.026,310.684
641,-1.027,-1.025,310.779
642,-1.036,-1.012,310.873
643,-1.012,-0.981,310.962
644,-1.012,-0.985,311.071
645,-0.987,-0.987,311.177
646,-0.976,-1.004,311.282
647,-0.994,-1.022,311.386
648,-0.982,-1.023,311.49
649,-0.948,-1.003,311.563
650,-0.943,-0.989,311.637
651,-0.929,-0.969,311.71
652,-0.887,-0.97,311.779
653,-0.874,-0.955,311.851
654,-0.862,-0.961,311.931
655,-0.87,-0.949,312.011
656,-0.893,-0.926,312.088
657,-0.897,-0.914,312.165
658,-0.876,-0.885,312.239
659,-0.847,-0.846,312.269
660,-0.853,-0.828,312.302
661,-0.83,-0.771,312.331
662,-0.815,-0.744,312.363
663,-0.794,-0.718,312.394
664,-0.775,-0.705,312.425
665,-0.755,-0.671,312.452
666,-0.733,-0.679,312.48
667,-0.719,-0.677,312.507
668,-0.707,-0.671,312.534
669,-0.664,-0.634,312.559
670,-0.633,-0.6,312.562
671,-0.622,-0.55,312.566
672,-0.594,-0.515,312.57
673,-0.573,-0.501,312.575
674,-0.55,-0.472,312.581
675,-0.542,-0.48,312.642
676,-0.542,-0.483,312.703
677,-0.536,-0.479,312.762
678,-0.523,-0.471,312.82
679,-0.523,-0.464,312.878
680,-0.477,-0.454,312.891
681,-0.468,-0.431,312.905
682,-0.463,-0.414,312.92
683,-0.427,-0.426,312.934
684,-0.439,-0.399,312.948
685,-0.453,-0.383,312.977
686,-0.439,-0.362,313.006
687,-0.414,-0.363,313.034
688,-0.409,-0.347,313.062
689,-0.41,-0.326,313.091
690,-0.422,-0.369,313.174
691,-0.452,-0.385,313.259
692,-0.457,-0.41,313.344
693,-0.501,-0.425,313.423
694,-0.52,-0.432,313.506
695,-0.519,-0.469,313.604
696,-0.549,-0.496,313.701
697,-0.574,-0.522,313.797
698,-0.59,-0.524,313.894
699,-0.571,-0.542,313.989
700,-0.566,-0.542,314.014
701,-0.543,-0.519,314.037
702,-0.527,-0.523,314.061
703,-0.523,-0.514,314.085
704,-0.522,-0.507,314.109
705,-0.552,-0.492,314.181
706,-0.528,-0.514,314.25
707,-0.552,-0.525,314.319
708,-0.548,-0.522,314.388
709,-0.546,-0.528,314.456
710,-0.527,-0.492,314.453
711,-0.494,-0.483,314.451
712,-0.483,-0.467,314.449
713,-0.478,-0.454,314.447
714,-0.471,-0.437,314.446
715,-0.42,-0.402,314.432
716,-0.392,-0.369,314.419
717,-0.382,-0.35,314.406
718,-0.37,-0.328,314.394
719,-0.35,-0.31,314.382
720,-0.338,-0.288,314.371
721,-0.368,-0.307,314.43
722,-0.358,-0.309,314.49
723,-0.361,-0.339,314.547
724,-0.356,-0.334,314.604
725,-0.36,-0.347,314.661
726,-0.35,-0.32,314.658
727,-0.337,-0.3,314.656
728,-0.321,-0.272,314.654
729,-0.3,-0.261,314.652
730,-0.28,-0.24,314.65
731,-0.294,-0.239,314.682
732,-0.307,-0.221,314.713
733,-0.292,-0.249,314.743
734,-0.309,-0.263,314.773
735,-0.305,-0.268,314.802
736,-0.275,-0.251,314.775
737,-0.263,-0.241,314.748
738,-0.246,-0.223,314.721
739,-0.232,-0.213,314.695
740,-0.215,-0.183,314.67
741,-0.195,-0.172,314.663
742,-0.185,-0.166,314.656
743,-0.173,-0.146,314.65
744,-0.151,-0.138,314.644
745,-0.151,-0.135,314.638
746,-0.191,-0.184,314.739
747,-0.242,-0.213,314.84
748,-0.291,-0.236,314.942
