Samples, Mx, My, Mz
406, 26.687, 10.488, 21.832
407, 25.364, 11.096, 20.926
408, 25.364, 11.096, 20.926
409, 25.364, 11.096, 20.926
410, 25.364, 11.096, 20.926
411, 25.364, 11.096, 20.926
412, 26.393, 11.855, 20.926
413, 26.393, 11.855, 20.926
414, 26.393, 11.855, 20.926
415, 26.393, 11.855, 20.926
416, 26.393, 11.855, 20.926
417, 26.246, 10.792, 21.530
418, 26.246, 10.792, 21.530
419, 26.246, 10.792, 21.530
420, 26.246, 10.792, 21.530
421, 26.246, 10.792, 21.530
422, 26.981, 12.311, 21.832
423, 26.981, 12.311, 21.832
424, 26.981, 12.311, 21.832
425, 26.981, 12.311, 21.832
426, 26.981, 12.311, 21.832
427, 26.981, 10.488, 21.832
428, 26.981, 10.488, 21.832
429, 26.981, 10.488, 21.832
430, 26.981, 10.488, 21.832
431, 26.981, 10.488, 21.832
432, 26.393, 12.463, 20.926
433, 26.393, 12.463, 20.926
434, 26.393, 12.463, 20.926
435, 26.393, 12.463, 20.926
436, 26.393, 12.463, 20.926
437, 26.099, 12.463, 21.681
438, 26.099, 12.463, 21.681
439, 26.099, 12.463, 21.681
440, 26.099, 12.463, 21.681
441, 26.099, 12.463, 21.681
442, 26.981, 11.248, 20.472
443, 26.981, 11.248, 20.472
444, 26.981, 11.248, 20.472
445, 26.981, 11.248, 20.472
446, 26.981, 11.248, 20.472
447, 26.393, 11.096, 21.228
448, 26.393, 11.096, 21.228
449, 26.393, 11.096, 21.228
450, 26.393, 11.096, 21.228
451, 26.393, 11.096, 21.228
452, 28.011, 10.792, 21.077
453, 28.011, 10.792, 21.077
454, 28.011, 10.792, 21.077
455, 28.011, 10.792, 21.077
456, 28.011, 10.792, 21.077
457, 27.129, 11.096, 20.170
458, 27.129, 11.096, 20.170
459, 27.129, 11.096, 20.170
460, 27.129, 11.096, 20.170
461, 27.129, 11.096, 20.170
462, 26.687, 10.792, 21.832
463, 26.687, 10.792, 21.832
464, 26.687, 10.792, 21.832
465, 26.687, 10.792, 21.832
466, 26.687, 10.792, 21.832
467, 25.805, 11.399, 21.228
468, 25.805, 11.399, 21.228
469, 25.805, 11.399, 21.228
470, 25.805, 11.399, 21.228
471, 25.805, 11.399, 21.228
472, 27.276, 10.488, 22.437
473, 27.276, 10.488, 22.437
474, 27.276, 10.488, 22.437
475, 27.276, 10.488, 22.437
476, 27.276, 10.488, 22.437
477, 26.099, 13.223, 21.681
478, 26.099, 13.223, 21.681
479, 26.099, 13.223, 21.681
480, 26.099, 13.223, 21.681
481, 26.099, 13.223, 21.681
482, 25.217, 12.007, 21.530
483, 25.217, 12.007, 21.530
484, 25.217, 12.007, 21.530
485, 25.217, 12.007, 21.530
486, 25.217, 12.007, 21.530
487, 26.246, 12.767, 22.134
488, 26.246, 12.767, 22.134
489, 26.246, 12.767, 22.134
490, 26.246, 12.767, 22.134
491, 26.246, 12.767, 22.134
492, 24.923, 12.007, 20.775
493, 24.923, 12.007, 20.775
494, 24.923, 12.007, 20.775
495, 24.923, 12.007, 20.775
496, 24.923, 12.007, 20.775
497, 24.923, 12.007, 21.077
498, 24.923, 12.007, 21.077
499, 24.923, 12.007, 21.077
500, 24.923, 12.007, 21.077
501, 24.923, 12.007, 21.077
502, 24.923, 13.071, 21.832
503, 24.923, 13.071, 21.832
504, 24.923, 13.071, 21.832
505, 24.923, 13.071, 21.832
506, 24.923, 13.071, 21.832
507, 24.482, 11.551, 23.947
508, 24.482, 11.551, 23.947
509, 24.482, 11.551, 23.947
510, 24.482, 11.551, 23.947
511, 24.482, 11.551, 23.947
512, 25.364, 9.880, 22.739
513, 25.364, 9.880, 22.739
514, 25.364, 9.880, 22.739
515, 25.364, 9.880, 22.739
516, 25.364, 9.880, 22.739
517, 24.776, 10.640, 23.796
518, 24.776, 10.640, 23.796
519, 24.776, 10.640, 23.796
520, 24.776, 10.640, 23.796
