Graph
Time (Seconds),Data (kg*m^2/s^2),Data0 (kg*m^2/s^2),Data1 (kg*m^2/s^2),Data2 (kg*m^2/s^2)
17.099998,0.126562,-0.028083,-0.135588,0.000063
17.150000,0.128080,-0.028748,-0.132958,0.000213
17.199999,0.130713,-0.029371,-0.130211,-0.000177
17.250000,0.128893,-0.029327,-0.128979,-0.000149
17.299999,0.128891,-0.028514,-0.129986,0.000032
17.349998,0.125364,-0.027859,-0.130325,0.000014
17.400000,0.128638,-0.028546,-0.130608,0.000027
17.449999,0.124583,-0.027697,-0.130721,0.000101
17.500000,0.125483,-0.027967,-0.129993,-0.000021
17.549999,0.124785,-0.027803,-0.130271,0.000109
17.599998,0.127513,-0.028451,-0.129597,-0.000136
17.650000,0.123186,-0.027474,-0.132443,0.000044
17.699999,0.126736,-0.028588,-0.129852,-0.000102
17.750000,0.124778,-0.027874,-0.130147,-0.000075
17.799999,0.121235,-0.027397,-0.129389,0.000031
17.849998,0.124892,-0.027744,-0.131955,0.000047
17.900000,0.124837,-0.028025,-0.133242,0.000026
17.949999,0.127061,-0.028104,-0.129009,-0.000088
18.000000,0.125017,-0.028342,-0.130543,-0.000034
18.049999,0.123931,-0.027597,-0.131610,0.000090
18.099998,0.129945,-0.029402,-0.128751,-0.000184
18.150000,0.135478,-0.030368,-0.120866,-0.000602
18.199999,0.148364,-0.033422,-0.114843,-0.001064
18.250000,0.120288,-0.023335,-0.141493,0.001458
18.299999,0.175847,-0.038926,-0.106369,-0.001852
18.349998,0.178384,-0.035944,-0.104687,-0.001371
18.400000,0.190401,-0.036100,-0.111796,-0.000546
18.449999,0.210247,-0.036557,-0.103547,-0.000358
18.500000,0.153306,-0.018762,-0.124346,0.003473
18.549999,0.292803,-0.049355,-0.077491,-0.003169
18.599998,0.269096,-0.039791,-0.093530,-0.000564
18.650000,0.295288,-0.038301,-0.085147,-0.000457
18.699999,0.315667,-0.036695,-0.085525,-0.000121
18.750000,0.245127,-0.018312,-0.099350,0.004129
18.799999,0.425117,-0.044161,-0.068028,-0.003162
18.849998,0.378034,-0.032547,-0.084018,-0.000154
18.900000,0.413325,-0.032373,-0.076040,-0.000067
18.949999,0.326546,-0.018367,-0.081338,0.003543
19.000000,0.503747,-0.033862,-0.071871,-0.002472
19.049999,0.472573,-0.027122,-0.080801,0.0000032
19.099998,0.473645,-0.023246,-0.079731,0.000524
19.150000,0.403430,-0.017464,-0.068899,0.002342
19.199999,0.561297,-0.024708,-0.080786,-0.001479
19.250000,0.531030,-0.022501,-0.077993,-0.000104
19.299999,0.521716,-0.019163,-0.074050,0.000207
19.349998,0.471803,-0.016694,-0.069615,0.001627
19.400000,0.597042,-0.019205,-0.078591,-0.001175
19.449999,0.566197,-0.016387,-0.075241,-0.000218
19.500000,0.559427,-0.016200,-0.072828,0.000130
19.549999,0.520585,-0.013150,-0.069731,0.001332
19.599998,0.617375,-0.013240,-0.076447,-0.000822
19.650000,0.580760,-0.011548,-0.067843,-0.000264
19.699999,0.583131,-0.011473,-0.072114,0.000355
19.750000,0.587300,-0.007980,-0.070403,0.000178
19.799999,0.588463,-0.007964,-0.067712,0.000219
19.849998,0.589318,-0.008230,-0.067793,0.000362
19.900000,0.585895,-0.007825,-0.065690,0.000284
19.949999,0.605868,-0.007120,-0.068629,0.000048
20.000000,0.595907,-0.008151,-0.065896,0.000112
20.049999,0.593268,-0.008034,-0.065747,0.000138
20.099998,0.607006,-0.007361,-0.067792,-0.000174
20.150000,0.599560,-0.007748,-0.068673,0.000184
20.199999,0.602916,-0.008335,-0.067772,-0.000093
20.250000,0.601771,-0.007947,-0.068594,0.000032
20.299999,0.602572,-0.008990,-0.066868,-0.000130
20.349998,0.596848,-0.009677,-0.069777,0.000203
20.400000,0.603597,-0.009799,-0.069609,-0.000112
20.449999,0.602365,-0.010325,-0.068435,-0.000149
20.500000,0.598612,-0.011026,-0.069195,0.000039
20.549999,0.601218,-0.010938,-0.069055,-0.000033
20.599998,0.600797,-0.011478,-0.070759,0.0000073
20.650000,0.596766,-0.012091,-0.070313,0.000050
20.699999,0.604761,-0.011733,-0.072820,-0.000040
20.750000,0.598687,-0.011618,-0.070582,-0.000013
20.799999,0.601185,-0.012957,-0.074798,0.000087
20.849998,0.602801,-0.011562,-0.071217,-0.000086
20.900000,0.595517,-0.013649,-0.071863,0.000092
20.949999,0.603459,-0.013281,-0.073529,-0.000027
21.000000,0.598809,-0.013180,-0.072031,-0.000043
21.049999,0.597561,-0.013065,-0.071633,-0.000018
21.099998,0.601822,-0.013079,-0.072969,-0.000041
21.150000,0.604674,-0.012640,-0.073133,-0.000091
21.199999,0.605569,-0.012955,-0.072657,-0.000087
21.250000,0.595322,-0.013007,-0.071147,0.000169
21.299999,0.609650,-0.012324,-0.072682,-0.000193
21.349998,0.601199,-0.012779,-0.071278,0.000024
21.400000,0.600021,-0.012800,-0.068876,0.000044
21.449999,0.599435,-0.013117,-0.069879,0.000131
21.500000,0.606218,-0.012712,-0.069925,-0.000007
21.549999,0.601240,-0.012587,-0.070465,0.000081
21.599998,0.606815,-0.012921,-0.069020,-0.000135
21.650000,0.606444,-0.011863,-0.069410,-0.000044
21.699999,0.600355,-0.012880,-0.068769,0.000121
21.750000,0.613372,-0.012237,-0.069437,-0.000142
21.799999,0.607380,-0.011913,-0.067476,-0.000097
21.849998,0.608035,-0.012351,-0.068910,-0.000043
21.900000,0.598455,-0.011900,-0.066436,0.000235
21.949999,0.617202,-0.011007,-0.068733,-0.000196
22.000000,0.604910,-0.012619,-0.065499,0.000069
22.049999,0.604368,-0.011283,-0.065001,0.000077
22.099998,0.607176,-0.011597,-0.066946,0.000101
22.150000,0.610999,-0.011720,-0.065971,-0.000087
22.199999,0.611741,-0.010359,-0.067236,0.000072
22.250000,0.612566,-0.010747,-0.065450,-0.000132
22.299999,0.612980,-0.011297,-0.064929,-0.000089
22.349998,0.604752,-0.010629,-0.065328,0.000205
22.400000,0.613709,-0.009604,-0.065379,-0.000058
22.449999,0.612018,-0.010370,-0.064092,-0.0000029
22.500000,0.603911,-0.011177,-0.060196,0.000097
22.549999,0.614266,-0.010099,-0.065180,0.000021
22.599998,0.608108,-0.010424,-0.062527,0.000060
22.650000,0.610991,-0.009333,-0.064768,-0.0000067
22.699999,0.616331,-0.008494,-0.063252,-0.000119
22.750000,0.610703,-0.010375,-0.063042,0.000054
22.799999,0.609886,-0.009335,-0.064969,0.000188
22.849998,0.608245,-0.011345,-0.064071,0.000126
22.900000,0.605843,-0.013310,-0.067118,0.000267
22.949999,0.611790,-0.014532,-0.069772,0.000424
23.000000,0.613300,-0.019456,-0.051292,-0.000791
23.049999,0.609401,-0.020264,-0.082783,0.001284
23.099998,0.617601,-0.029061,-0.078495,0.000625
23.150000,0.606910,-0.036635,-0.062912,-0.000256
23.199999,0.598685,-0.040588,-0.045293,-0.001417
23.250000,0.621389,-0.044513,-0.106671,0.001894
23.299999,0.607208,-0.056631,-0.071508,-0.000238
23.349998,0.607598,-0.065628,-0.075715,-0.000145
23.400000,0.598290,-0.073166,-0.074735,-0.000164
23.449999,0.580512,-0.077513,-0.050379,-0.001374
23.500000,0.609713,-0.083412,-0.100858,0.000971
23.549999,0.600342,-0.089050,-0.082750,-0.000083
23.599998,0.591860,-0.094877,-0.080316,-0.000284
23.650000,0.578496,-0.094414,-0.067567,-0.000771
23.699999,0.597256,-0.103091,-0.094336,-0.000042
23.750000,0.592749,-0.098300,-0.090290,0.000108
23.799999,0.588327,-0.099811,-0.090670,0.000157
23.849998,0.585697,-0.103565,-0.081912,-0.000476
23.900000,0.587331,-0.104159,-0.090244,0.000032
23.949999,0.588588,-0.104281,-0.087598,-0.000194
24.000000,0.593919,-0.103966,-0.091899,-0.000019
24.049999,0.591197,-0.103318,-0.088549,-0.000081
24.099998,0.590248,-0.102374,-0.092452,0.000214
24.150000,0.593261,-0.103483,-0.087955,-0.000235
24.199999,0.589295,-0.100549,-0.088916,0.000029
24.250000,0.594788,-0.101519,-0.090051,-0.000046
24.299999,0.594367,-0.099619,-0.092332,0.000168
24.349998,0.593198,-0.099253,-0.091743,0.000110
24.400000,0.594620,-0.099140,-0.089494,-0.000048
24.449999,0.592078,-0.098943,-0.087812,-0.000063
24.500000,0.596785,-0.099201,-0.090751,0.000036
24.549999,0.594241,-0.097927,-0.090917,0.000089
24.599998,0.594498,-0.098027,-0.089142,-0.000020
24.650000,0.595695,-0.097816,-0.088278,-0.000093
24.699999,0.595571,-0.096896,-0.090418,0.000162
24.750000,0.593931,-0.097588,-0.086335,-0.000160
24.799999,0.596606,-0.096824,-0.090867,0.000110
24.849998,0.595074,-0.096186,-0.087412,-0.000067
